LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,DELTA_T,DISTANCE,MEAN_VELOCITY,TOTAL_DISTANCE,FIRST,LAST,MEAN_SUCCESSORS_DELAY,MEAN_PREDECESSORS_DELAY
Label,Track ID,Track ID,Track ID,Branch duration,Distance traveled,Mean velocity,Total distance,First spot ID,Last spot ID,Mean successors delay,Mean predecessors delay
Label,Track ID,N predecessors,N successors,Delta T,Dist,Mean V,Tot Dist,First ID,Last ID,Succ Delay,Pred Delay
,,,,(frame),( ),( /frame),( ),,,(frame),(frame)
Track_1035: ID554679 → ID558445,27,0,0,16.0,2.6281573317345246,0.8412176093028642,13.459481748845826,554679,558445,0.0,0.0
Track_1032: ID554686 → ID558511,24,0,0,22.0,5.027831735579807,0.6342134198053202,13.952695235717044,554686,558511,0.0,0.0
Track_1034: ID554713 → ID556528,26,0,0,2.0,2.741039517609991,1.5815440119444095,3.163088023888819,554713,556528,0.0,0.0
Track_1030: ID554743 → ID557401,22,0,0,17.0,1.8299068536383791,0.889597281526316,15.123153785947371,554743,557401,0.0,0.0
Track_1022: ID554750 → ID573481,14,0,0,118.0,20.605834859120847,0.4321895811959132,50.99837058111776,554750,573481,0.0,0.0
Track_1009: ID554763 → ID568285,1,0,0,84.0,10.250454520832943,0.5968620541379186,50.13641254758517,554763,568285,0.0,0.0
Track_1028: ID554773 → ID572107,20,0,0,109.0,18.46200014838743,0.6345924380638103,69.17057574895532,554773,572107,0.0,0.0
Track_1023: ID554783 → ID565093,15,0,0,65.0,12.980758881499598,0.5447629664188355,35.40959281722431,554783,565093,0.0,0.0
Track_1029: ID554805 → ID565101,21,0,0,65.0,3.471512202686208,0.5795680855101897,37.67192555816233,554805,565101,0.0,0.0
Track_1016: ID554818 → ID568324,8,0,0,84.0,11.820914532782819,0.8974755326476985,75.38794474240667,554818,568324,0.0,0.0
Track_1008: ID554826 → ID557428,0,0,0,17.0,2.1614674369128606,0.9770931380566701,16.61058334696339,554826,557428,0.0,0.0
Track_1014: ID554848 → ID557383,6,0,0,18.0,0.3796818171857171,0.39572154797120646,7.1229878634817165,554848,557383,0.0,0.0
Track_1031: ID554859 → ID577462,23,0,0,139.0,13.521786521182664,0.7466087407160965,103.7786149595374,554859,577462,0.0,0.0
Track_1020: ID554905 → ID561508,12,0,0,41.0,4.8306490404282965,1.1258012730942917,46.15785219686596,554905,561508,0.0,0.0
Track_1017: ID554946 → ID557424,9,0,0,18.0,3.684837167993453,0.5381890070819122,9.687402127474419,554946,557424,0.0,0.0
Track_1024: ID555122 → ID561523,16,0,0,41.0,2.473515572530522,0.9640727877316624,39.52698429699816,555122,561523,0.0,0.0
Track_1010: ID555149 → ID580533,2,0,0,161.0,23.60402349760691,0.7910106241236468,127.35271048390713,555149,580533,0.0,0.0
Track_1015: ID555168 → ID569796,7,0,0,93.0,8.902283051748418,0.9106084780877134,84.68658846215735,555168,569796,0.0,0.0
Track_1026: ID555220 → ID565167,18,0,0,65.0,18.68215720330092,1.0973461002451612,71.32749651593548,555220,565167,0.0,0.0
Track_1012: ID555246 → ID566755,4,0,0,73.0,6.076478482852143,0.5042433755653825,36.80976641627292,555246,566755,0.0,0.0
Track_1027: ID555316 → ID558022,19,0,0,20.0,3.2863093203501275,1.7648387040643914,35.29677408128783,555316,558022,0.0,0.0
Track_1036: ID555504 → ID556773,28,0,0,3.0,0.7677456931938841,0.36363524994629226,1.0909057498388768,555504,556773,0.0,0.0
Track_1019: ID555590 → ID561373,11,0,0,40.0,2.8919681877659604,0.4756154982708254,19.024619930833016,555590,561373,0.0,0.0
Track_1025: ID555634 → ID555565,17,0,0,5.0,0.6165324091659027,0.37963069761826757,1.8981534880913378,555634,555565,0.0,0.0
Track_1018: ID555716 → ID555610,10,0,0,5.0,4.245228622019475,1.69022807427156,8.4511403713578,555716,555610,0.0,0.0
Track_1011: ID555789 → ID554780,3,0,0,6.0,1.4521484776068398,0.5590657161283507,3.3543942967701037,555789,554780,0.0,0.0
Track_1013: ID555790 → ID554822,5,0,0,6.0,0.790602426890074,0.16621389133762368,0.9972833480257421,555790,554822,0.0,0.0
Track_1021: ID555803 → ID565887,13,0,0,66.0,12.62960053065007,0.751958013613656,49.629228898501296,555803,565887,0.0,0.0
Track_1033: ID555870 → ID557006,25,0,0,7.0,1.0964176166678603,0.993413289523126,6.953893026661882,555870,557006,0.0,0.0
Track_1041: ID556025 → ID557745,33,0,0,5.0,0.615433452250847,0.6247814257038321,3.1239071285191606,556025,557745,0.0,0.0
Track_1042: ID556045 → ID564158,34,0,0,41.0,4.266916851021647,0.5953718097987681,24.410244201749492,556045,564158,0.0,0.0
Track_1040: ID556743 → ID557217,32,0,0,5.0,1.3745311269226452,0.5860618055556939,2.930309027778469,556743,557217,0.0,0.0
Track_1039: ID556756 → ID557220,31,0,0,5.0,0.8706453601182516,0.5427370403375027,2.7136852016875137,556756,557220,0.0,0.0
Track_1037: ID556956 → ID558496,29,0,0,13.0,1.7652039842684975,0.29487739394532864,3.8334061212892725,556956,558496,0.0,0.0
Track_1038: ID556983 → ID558179,30,0,0,11.0,1.7724798545827716,0.6193307486518788,6.812638235170666,556983,558179,0.0,0.0
Track_1044: ID557325 → ID563365,36,0,0,33.0,4.19349900893296,0.7972679840324569,26.309843473071076,557325,563365,0.0,0.0
Track_1043: ID557432 → ID563248,35,0,0,34.0,1.5725327407086445,0.48384056444389073,16.450579191092285,557432,563248,0.0,0.0
Track_1045: ID557600 → ID569757,37,0,0,74.0,11.028812091368446,0.64588254743821,47.795308510427546,557600,569757,0.0,0.0
Track_1046: ID557989 → ID559130,38,0,0,8.0,1.6094154569252435,0.44531672054663535,3.562533764373083,557989,559130,0.0,0.0
Track_1048: ID558219 → ID558579,40,0,0,3.0,0.9111809891297227,0.8119894950147271,2.435968485044181,558219,558579,0.0,0.0
Track_1049: ID558306 → ID558641,41,0,0,3.0,6.993062327890261,2.4036828435930007,7.211048530779002,558306,558641,0.0,0.0
