LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),( ),( ),( ),( ),( /frame),( /frame),( /frame),( /frame),( /frame),(quality),( ),( ),,( /frame),,(rad/frame)
Track_1008,0,0,18,0,0,0,0,0,17.0,0.0,17.0,2.1614674369128606,191.94493151194098,250.0680091063538,0.0,0.9770931380566703,2.472510671265626,0.1998075445137308,0.9527792227627648,0.7393742042196644,281.6111111111111,16.6105833469634,2.472510671265626,0.13012591982857732,0.12714514334781532,0.13012591982857732,2.017267259646963
Track_1009,1,1,85,0,0,0,0,0,84.0,0.0,84.0,10.250454520832943,335.1119238162264,215.00121751419147,0.0,0.5968620541379187,1.8753239003575364,0.040423895059032,0.506322817646175,0.42209541089319097,271.3176470588235,50.13641254758517,10.337791601309764,0.20445129597384123,0.12202922048610645,0.2044512959738412,1.945286513745833
Track_1010,2,2,159,2,0,0,0,2,161.0,0.0,161.0,23.60402349760691,381.9345104628586,310.05728665316394,0.0,0.8017152273540091,3.1409635668383458,0.04929870524953572,0.6709822873736303,0.5951856025148264,504.75471698113205,127.35271048390712,23.60402349760691,0.1853437073142595,0.14660884160004292,0.18286897466562105,1.8173702956844822
Track_1011,3,3,4,2,0,0,0,2,6.0,0.0,6.0,1.4521484776068398,305.9710105578971,418.36887265356887,0.0,0.6075991394681595,0.9228201301158384,0.26835769821165467,0.6316195900769853,0.3278917584037038,1265.75,3.3543942967701037,1.6795764668132822,0.432909297218008,0.24202474626780665,0.3983296396365118,1.0089865891194976
Track_1012,4,4,74,0,0,0,0,0,73.0,0.0,73.0,6.076478482852143,340.76731153957655,333.66798062736046,0.0,0.5042433755653825,3.1283192823481354,0.04500937993274099,0.32590554840712527,0.5318092562722418,925.6081081081081,36.80976641627292,6.076478482852143,0.16507788759468583,0.08323943127194716,0.16507788759468583,1.9205659904519286
Track_1013,5,5,4,2,0,0,0,2,6.0,0.0,6.0,0.790602426890074,269.09402175352545,421.2790795588447,0.0,0.2152292768401176,0.3661518986485771,0.07205958563361367,0.20747634623816205,0.14719936512536955,479.0,0.9972833480257421,0.790602426890074,0.7927560692306543,0.13176707114834565,0.612217227520717,0.32755756692080623
Track_1014,6,6,19,0,0,0,0,0,18.0,0.0,18.0,0.3796818171857171,386.20269860296816,260.9736152705194,0.0,0.3957215479712065,1.3379491471392386,0.11096874265301535,0.34451730683528525,0.2896526148226784,378.42105263157896,7.1229878634817165,1.4508428058342873,0.05330372934260885,0.021093434288095392,0.05330372934260884,1.6755696007930878
